s n m tiempo
1 12 1 131.90000000
1 12 2 137.60000000
1 12 3 163.70000000
1 12 4 173.00000000
1 12 5 132.10000000
1 12 6 172.60000000
1 12 7 147.00000000
1 12 8 167.10000000
1 12 9 171.80000000
1 12 10 146.40000000
1 12 11 157.40000000
1 12 12 138.20000000
1 12 13 176.50000000
1 12 14 175.20000000
1 12 15 139.00000000
1 12 16 161.70000000
1 12 17 190.20000000
1 12 18 172.00000000
1 12 19 180.20000000
1 12 20 136.30000000
1 12 21 142.60000000
1 12 22 215.60000000
1 12 23 151.30000000
1 12 24 143.90000000
1 12 25 173.80000000
1 12 26 136.80000000
1 12 27 154.20000000
1 12 28 164.50000000
1 12 29 135.20000000
1 12 30 201.90000000
1 12 31 177.00000000
1 12 32 171.40000000
1 12 33 201.40000000
1 12 34 178.60000000
1 12 35 210.40000000
1 12 36 194.60000000
1 12 37 274.20000000
1 12 38 150.30000000
1 12 39 191.10000000
1 12 40 170.00000000
1 12 41 202.80000000
1 12 42 184.00000000
1 12 43 149.10000000
1 12 44 231.50000000
1 12 45 160.90000000
1 12 46 163.60000000
1 12 47 193.60000000
1 12 48 183.90000000
1 12 49 201.00000000
1 12 50 179.70000000
1 12 51 179.80000000
1 12 52 183.60000000
1 12 53 181.50000000
1 12 54 179.60000000
1 12 55 205.00000000
1 12 56 174.00000000
1 12 57 181.90000000
1 12 58 208.20000000
1 12 59 181.20000000
1 12 60 263.60000000
1 12 61 1849.30000000
