n km kb nanosegundos km*kb n*km*kb div-(km*kb) div-(n*km*kb)
33 7 9 5283200.00000000 63 2079 83860.31746032 2541.22174122
33 14 2 3823000.00000000 28 924 136535.71428571 4137.44588745
33 29 21 11837100.00000000 609 20097 19436.94581281 588.99835796
33 18 29 10740400.00000000 522 17226 20575.47892720 623.49936143
33 24 25 10956900.00000000 600 19800 18261.50000000 553.37878788
33 28 26 11148300.00000000 728 24024 15313.59890110 464.04845155
33 25 12 6785000.00000000 300 9900 22616.66666667 685.35353535
33 12 32 7505200.00000000 384 12672 19544.79166667 592.26641414
34 17 31 11281400.00000000 527 17918 21406.83111954 629.61267999
34 4 19 5184300.00000000 76 2584 68214.47368421 2006.30804954
34 12 21 7522000.00000000 252 8568 29849.20634921 877.91783380
34 22 14 7452100.00000000 308 10472 24195.12987013 711.62146677
34 12 18 6010400.00000000 216 7344 27825.92592593 818.40958606
34 22 21 9078200.00000000 462 15708 19649.78354978 577.93481029
34 9 5 4247400.00000000 45 1530 94386.66666667 2776.07843137
34 18 26 8006300.00000000 468 15912 17107.47863248 503.16113625
34 25 6 6185800.00000000 150 5100 41238.66666667 1212.90196078
34 18 5 4353100.00000000 90 3060 48367.77777778 1422.58169935
35 32 31 14646000.00000000 992 34720 14764.11290323 421.83179724
35 25 18 10394300.00000000 450 15750 23098.44444444 659.95555556
35 25 26 12356400.00000000 650 22750 19009.84615385 543.13846154
35 17 31 9395700.00000000 527 18445 17828.65275142 509.39007861
35 18 16 6821700.00000000 288 10080 23686.45833333 676.75595238
35 2 26 3721700.00000000 52 1820 71571.15384615 2044.89010989
35 11 23 6526100.00000000 253 8855 25794.86166008 736.99604743
35 5 21 4863100.00000000 105 3675 46315.23809524 1323.29251701
35 26 10 6202500.00000000 260 9100 23855.76923077 681.59340659
35 23 13 7897500.00000000 299 10465 26413.04347826 754.65838509
36 16 35 12199300.00000000 560 20160 21784.46428571 605.12400794
36 29 33 15748600.00000000 957 34452 16456.21734587 457.11714850
36 12 17 5582300.00000000 204 7344 27364.21568627 760.11710240
36 12 18 6436300.00000000 216 7776 29797.68518519 827.71347737
36 29 28 14223900.00000000 812 29232 17517.11822660 486.58661741
36 36 18 13258000.00000000 648 23328 20459.87654321 568.32990398
36 11 6 4076500.00000000 66 2376 61765.15151515 1715.69865320
36 3 28 4074900.00000000 84 3024 48510.71428571 1347.51984127
36 30 4 4721800.00000000 120 4320 39348.33333333 1093.00925926
36 7 29 5230000.00000000 203 7308 25763.54679803 715.65407772
37 31 31 15270800.00000000 961 35557 15890.53069719 429.47380263
37 4 4 3606900.00000000 16 592 225431.25000000 6092.73648649
37 2 5 3260600.00000000 10 370 326060.00000000 8812.43243243
37 26 12 7403900.00000000 312 11544 23730.44871795 641.36347886
37 14 5 3520200.00000000 70 2590 50288.57142857 1359.15057915
37 13 8 4766900.00000000 104 3848 45835.57692308 1238.79937630
37 7 30 6198000.00000000 210 7770 29514.28571429 797.68339768
37 24 14 8470600.00000000 336 12432 25210.11904762 681.35456885
37 30 4 5691000.00000000 120 4440 47425.00000000 1281.75675676
37 28 16 10206100.00000000 448 16576 22781.47321429 615.71549228
38 35 29 16801000.00000000 1015 38570 16552.70935961 435.59761473
38 15 3 4320200.00000000 45 1710 96004.44444444 2526.43274854
38 38 38 20157000.00000000 1444 54872 13959.14127424 367.34582301
38 37 19 13254200.00000000 703 26714 18853.76955903 496.15183050
38 16 30 9467200.00000000 480 18240 19723.33333333 519.03508772
38 1 30 4042000.00000000 30 1140 134733.33333333 3545.61403509
38 23 38 13615400.00000000 874 33212 15578.26086957 409.95423341
38 15 4 5185100.00000000 60 2280 86418.33333333 2274.16666667
38 8 23 4998800.00000000 184 6992 27167.39130435 714.93135011
38 19 14 6999800.00000000 266 10108 26315.03759398 692.50098932
39 33 12 9348400.00000000 396 15444 23607.07070707 605.30950531
39 27 16 9033900.00000000 432 16848 20911.80555556 536.20014245
39 3 13 3415300.00000000 39 1521 87571.79487179 2245.43063774
39 13 14 5404100.00000000 182 7098 29692.85714286 761.35531136
39 37 11 9375600.00000000 407 15873 23035.87223587 590.66339066
39 35 39 19530400.00000000 1365 53235 14307.98534799 366.87141918
39 15 25 7770700.00000000 375 14625 20721.86666667 531.32991453
39 26 20 10732400.00000000 520 20280 20639.23076923 529.21104536
39 29 35 15122600.00000000 1015 39585 14899.11330049 382.02854617
